t1,t2,v,s
138,157,0.29541,0.1
125,153,0.31390,0.1
75,133,0.31396,0.1
68,135,0.31383,0.1
33,197,0.09152,0.1
92,147,0.31932,0.1
111,227,0.27812,0.1
94,145,0.32012,0.1
68,124,0.30414,0.1
138,144,0.29058,0.1
82,118,0.29583,0.1
113,204,0.29385,0.1
113,161,0.31649,0.1
98,137,0.31775,0.1
128,184,0.30618,0.1
115,228,0.28266,0.1
94,167,0.30259,0.1
60,201,0.20835,0.1
50,85,0.21994,0.1
234,251,0.00031,0.1
51,117,0.29098,0.1
88,127,0.30767,0.1
82,141,0.31772,0.1
71,143,0.31419,0.1
98,146,0.32076,0.1
34,103,0.26533,0.1
165,202,0.18872,0.1
92,149,0.31866,0.1
83,172,0.28595,0.1
90,150,0.31798,0.1
108,144,0.31912,0.1
92,152,0.31757,0.1
100,164,0.31184,0.1
63,136,0.31253,0.1
114,123,0.29447,0.1
107,161,0.31584,0.1
75,164,0.28962,0.1
120,163,0.31474,0.1
98,146,0.32076,0.1
76,149,0.31276,0.1
124,166,0.31226,0.1
101,175,0.30227,0.1
120,154,0.31688,0.1
69,166,0.28097,0.1
155,255,0.23175,0.1
110,159,0.31740,0.1
96,159,0.31201,0.1
49,122,0.29739,0.1
93,144,0.31973,0.1
95,195,0.27550,0.1
117,154,0.31855,0.1
157,185,0.22259,0.1
103,134,0.31415,0.1
156,193,0.23295,0.1
96,190,0.28541,0.1
123,168,0.31285,0.1
84,142,0.31809,0.1
71,102,0.26868,0.1
104,158,0.31792,0.1
79,198,0.24701,0.1
56,126,0.30514,0.1
121,158,0.31638,0.1
44,165,0.22429,0.1
93,157,0.31147,0.1
108,158,0.31836,0.1
103,142,0.31945,0.1
115,192,0.30311,0.1
80,145,0.31661,0.1
115,163,0.31565,0.1
116,178,0.30939,0.1
87,208,0.24286,0.1
115,208,0.29191,0.1
97,122,0.30069,0.1
153,196,0.24374,0.1
64,208,0.20257,0.1
126,169,0.30980,0.1
31,191,0.11088,0.1
121,171,0.31213,0.1
95,149,0.31931,0.1
133,183,0.29928,0.1
125,224,0.29112,0.1
63,147,0.30827,0.1
113,224,0.28088,0.1
127,153,0.31172,0.1
153,205,0.24326,0.1
103,157,0.31739,0.1
97,148,0.32033,0.1
121,139,0.31161,0.1
121,180,0.30888,0.1
40,142,0.28768,0.1
97,150,0.31990,0.1
93,171,0.29631,0.1
38,183,0.14555,0.1
103,164,0.31314,0.1
77,167,0.28556,0.1
109,156,0.31930,0.1
114,153,0.31908,0.1
65,99,0.25674,0.1
139,176,0.29056,0.1
98,144,0.32047,0.1
128,146,0.30935,0.1
137,190,0.29312,0.1
74,117,0.29295,0.1
142,165,0.28622,0.1
103,142,0.31945,0.1
39,102,0.26585,0.1
42,80,0.21159,0.1
71,124,0.30426,0.1
13,76,0.20235,0.1
129,164,0.30740,0.1
148,230,0.26434,0.1
84,89,0.22810,0.1
183,236,0.12804,0.1
98,150,0.32046,0.1
124,179,0.30814,0.1
57,81,0.21181,0.1
82,111,0.28394,0.1
102,129,0.30996,0.1
31,95,0.24249,0.1
93,142,0.31941,0.1
72,130,0.31076,0.1
2,155,0.23175,0.1
130,157,0.30786,0.1
158,195,0.22249,0.1
131,163,0.30467,0.1
10,29,0.00239,0.1
15,75,0.19823,0.1
154,165,0.24386,0.1
82,121,0.29862,0.1
137,155,0.29515,0.1
58,197,0.21150,0.1
64,168,0.27349,0.1
121,225,0.28819,0.1
45,126,0.29863,0.1
67,158,0.29407,0.1
180,222,0.13830,0.1
42,202,0.11539,0.1
106,153,0.32012,0.1
110,133,0.31171,0.1
5,193,0.10075,0.1
14,79,0.20675,0.1
96,113,0.28568,0.1
181,200,0.13289,0.1
109,139,0.31689,0.1
40,168,0.20171,0.1
183,235,0.12804,0.1
106,110,0.27930,0.1
13,104,0.26922,0.1
161,169,0.20354,0.1
80,103,0.26839,0.1
99,147,0.32074,0.1
128,173,0.30879,0.1
77,148,0.31419,0.1
240,254,0.00010,0.1
92,97,0.24845,0.1
31,59,0.15974,0.1
111,152,0.32010,0.1
50,53,0.13028,0.1
162,244,0.20316,0.1
106,114,0.28558,0.1
44,120,0.29304,0.1
49,120,0.29506,0.1
95,147,0.31986,0.1
106,132,0.31109,0.1
120,173,0.31135,0.1
79,175,0.27575,0.1
43,61,0.16626,0.1
153,173,0.24404,0.1
87,135,0.31635,0.1
63,85,0.21983,0.1
99,143,0.32047,0.1
145,169,0.27452,0.1
97,126,0.30708,0.1
136,202,0.29348,0.1
186,248,0.12346,0.1
124,196,0.30330,0.1
117,209,0.29144,0.1
81,143,0.31716,0.1
132,156,0.30482,0.1
44,223,0.07109,0.1
110,160,0.31740,0.1
179,192,0.13835,0.1
124,158,0.31380,0.1
104,235,0.26926,0.1
14,59,0.15973,0.1
118,165,0.31456,0.1
118,130,0.30358,0.1
70,226,0.19021,0.1
128,254,0.29147,0.1
46,134,0.30222,0.1
107,125,0.30091,0.1
